track_name,track_artist,track_album_id,track_album_release_date,track_id,track_album_id,playlist_name,playlist_genre,playlist_subgenre,playlist_id,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,time_signature,track_href,uri,analysis_url,id
we can't be friends (wait for your love),Ariana Grande,71PfP4E9roOXAudea1aPGw,08/03/2024,46kspZSY3aKmwQe7O77fCC,71PfP4E9roOXAudea1aPGw,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,81,0.646,115.842,0.645,-8.334,0.074,0.295,0.0427,3.04e-05,1,5,228639,0.0615,4,https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC,spotify:track:46kspZSY3aKmwQe7O77fCC,https://api.spotify.com/v1/audio-analysis/46kspZSY3aKmwQe7O77fCC,46kspZSY3aKmwQe7O77fCC
Beautiful Things,Benson Boone,29aSKB1qPEbN0Qf9OPSQpw,18/01/2024,6tNQ70jh4OwmPGpYy6R2o9,29aSKB1qPEbN0Qf9OPSQpw,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,85,0.471,105.029,0.472,-5.692,0.14,0.219,0.0603,0,1,10,180304,0.151,3,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,6tNQ70jh4OwmPGpYy6R2o9
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",3pkIK8SI5mcUUjb9jNjx4H,17/10/2024,0qeIFEGRQqHoaJtLCl0U73,3pkIK8SI5mcUUjb9jNjx4H,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,84,0.709,194.055,0.744,-5.778,0.0847,0.712,0.284,0,0,6,130880,0.0501,4,https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73,spotify:track:0qeIFEGRQqHoaJtLCl0U73,https://api.spotify.com/v1/audio-analysis/0qeIFEGRQqHoaJtLCl0U73,0qeIFEGRQqHoaJtLCl0U73
Touch,KATSEYE,1hjqg3TuQ2YqooaPhxHwdv,26/07/2024,6aJn7Cst74cj4lNIiPRgav,1hjqg3TuQ2YqooaPhxHwdv,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,85,0.904,167.033,0.739,-2.655,0.0948,0.788,0.0442,1.03e-05,0,5,129883,0.549,4,https://api.spotify.com/v1/tracks/6aJn7Cst74cj4lNIiPRgav,spotify:track:6aJn7Cst74cj4lNIiPRgav,https://api.spotify.com/v1/audio-analysis/6aJn7Cst74cj4lNIiPRgav,6aJn7Cst74cj4lNIiPRgav
Lose Control,Teddy Swims,7nacKlk586eLRBSIsrk9DB,15/09/2023,17phhZDn6oGtzMe56NuWvj,7nacKlk586eLRBSIsrk9DB,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,89,0.604,159.92,0.561,-4.409,0.104,0.242,0.0337,1.9e-05,1,9,210689,0.199,3,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,17phhZDn6oGtzMe56NuWvj
Belong Together,Mark Ambor,3PlCMwyq6nuQYtoYproV1o,16/02/2024,5uQ7de4EWjb3rkcFxyEOpu,3PlCMwyq6nuQYtoYproV1o,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,82,0.668,90.969,0.646,-5.203,0.212,0.64,0.0282,0,1,2,148318,0.491,4,https://api.spotify.com/v1/tracks/5uQ7de4EWjb3rkcFxyEOpu,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,https://api.spotify.com/v1/audio-analysis/5uQ7de4EWjb3rkcFxyEOpu,5uQ7de4EWjb3rkcFxyEOpu
Si Antes Te Hubiera Conocido,KAROL G,5ylbxH7EqpsmHZCRuiYewS,21/06/2024,6WatFBLVB0x077xWeoVc2k,5ylbxH7EqpsmHZCRuiYewS,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,93,0.668,128.027,0.924,-6.795,0.0678,0.787,0.0469,0.000594,1,11,195824,0.446,4,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,6WatFBLVB0x077xWeoVc2k
End of Beginning,Djo,4JDXBZdRPId4devseaAOKH,16/09/2022,3qhlB30KknSejmIvZZLjOD,4JDXBZdRPId4devseaAOKH,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,89,0.454,159.982,0.689,-7.643,0.0707,0.912,0.0584,0.00259,1,2,159246,0.0351,4,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,3qhlB30KknSejmIvZZLjOD
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",1Mo4aZ8pdj6L1jx8zSwJnt,18/04/2024,2OzhQlSqBEmt7hmkYxfT6m,1Mo4aZ8pdj6L1jx8zSwJnt,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,84,0.386,192.004,0.504,-10.976,0.0961,0.281,0.0308,1.53e-05,1,11,228965,0.502,4,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,2OzhQlSqBEmt7hmkYxfT6m
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",3C5uwdRE5QRoXSGPPxpDd4,20/09/2024,0Sr7ssScx54yxdM2ols7nW,3C5uwdRE5QRoXSGPPxpDd4,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,89,0.681,155.079,0.56,-6.304,0.106,0.388,0.244,0,0,6,223320,0.103,4,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,0Sr7ssScx54yxdM2ols7nW
Not Like Us,Kendrick Lamar,5JjnoGJyOxfSZUZtk2rRwZ,04/05/2024,6AI3ezQ4o3HUoP6Dhudph3,5JjnoGJyOxfSZUZtk2rRwZ,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,88,0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0,1,1,274192,0.0107,4,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,6AI3ezQ4o3HUoP6Dhudph3
Running Wild,Jin,0fKlaQuBMQYFo5aIFoGIXt,15/11/2024,4p7DTkyrKqT98xlIwYYfXz,0fKlaQuBMQYFo5aIFoGIXt,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,85,0.711,146.921,0.487,-4.22,0.152,0.317,0.0322,0,1,8,151647,0.000175,4,https://api.spotify.com/v1/tracks/4p7DTkyrKqT98xlIwYYfXz,spotify:track:4p7DTkyrKqT98xlIwYYfXz,https://api.spotify.com/v1/audio-analysis/4p7DTkyrKqT98xlIwYYfXz,4p7DTkyrKqT98xlIwYYfXz
57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",5TT8KluomuelzsNF7T1U37,08/11/2024,3mg9jYNC1NihbthlglzrWP,5TT8KluomuelzsNF7T1U37,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,84,0.712,91.98,0.848,-3.574,0.106,0.692,0.0981,0,0,1,298131,0.221,4,https://api.spotify.com/v1/tracks/3mg9jYNC1NihbthlglzrWP,spotify:track:3mg9jYNC1NihbthlglzrWP,https://api.spotify.com/v1/audio-analysis/3mg9jYNC1NihbthlglzrWP,3mg9jYNC1NihbthlglzrWP
